ID,Rock,Origin,Transplant,StatusM,StatusE
SS11,SR1,Slope,Deep,0,0
SS13,SR3,Slope,Deep,0,0
SS16,SR3,Slope,Deep,0,0
SS18,SR1,Slope,Deep,0,0
SS20,SR3,Slope,Deep,0,0
SS21,SR5,Slope,Deep,0,0
SS24,SR5,Slope,Deep,0,0
SS27,SR5,Slope,Deep,0,0
SS28,SR2,Slope,Deep,0,0
SS29,SR2,Slope,Deep,0,0
SS31,SR3,Slope,Deep,0,0
SS32,SR5,Slope,Deep,0,0
SS42,SR2,Slope,Deep,0,0
SS45,SR2,Slope,Deep,0,0
SS48,SR1,Slope,Deep,0,0
